"PREPRINT_DOI","ARTICLE_DOI"
"10.1101/000026","10.1371/journal.pgen.1004412"
"10.1101/000067","10.1038/nature12904"
"10.1101/000109","10.1371/journal.pgen.1004410"
"10.1101/000125","10.1016/j.ejca.2014.08.019"
"10.1101/000141","10.1371/journal.pcbi.1003433"
"10.1101/000158","10.1186/1471-2164-15-398"
"10.1101/000208","10.1101/gr.169292.113"
"10.1101/000307","10.1371/journal.pgen.1004293"
"10.1101/000257","10.1103/physrevx.4.041009"
"10.1101/000265","10.1093/nar/gkw1148"
"10.1101/000315","10.1371/journal.pone.0087782"
"10.1101/000950","10.1093/mp/ssu003"
"10.1101/000380","10.1016/j.biochi.2012.05.024"
"10.1101/000422","10.3389/fgene.2014.00013"
"10.1101/000562","10.1007/s11538-014-0023-y"
"10.1101/000653","10.1242/bio.20148409"
"10.1101/000661","10.1098/rspb.2014.2259"
"10.1101/000752","10.1016/j.ajhg.2014.03.004"
"10.1101/000760","10.1111/cobi.12308"
"10.1101/000778","10.1371/journal.pcbi.1003871"
"10.1101/000836","10.1371/journal.pone.0139429"
"10.1101/000885","10.1021/sb400203p"
"10.1101/000893","10.1111/cobi.12561"
"10.1101/000968","10.3389/fnhum.2013.00880"
"10.1101/000927","10.1371/journal.pone.0097272"
"10.1101/000943","10.3389/fncir.2014.00028"
"10.1101/000430","10.1021/sb400157z"
"10.1101/000448","10.1021/sb500024b"
"10.1101/000455","10.1186/2047-217x-3-3"
"10.1101/001008","10.15252/msb.20134955"
"10.1101/001024","10.1186/s12859-014-0449-0"
"10.1101/001065","10.1371/journal.pone.0128115"
"10.1101/001032","10.1371/journal.pone.0091768"
"10.1101/001040","10.1371/journal.pone.0090714"
"10.1101/001081","10.1093/bioinformatics/btu121"
"10.1101/001107","10.1101/gr.181016.114"
"10.1101/001073","10.1534/genetics.114.164350"
"10.1101/001099","10.1371/journal.pone.0096788"
"10.1101/000984","10.1371/journal.pone.0098122"
"10.1101/001255","10.1007/s10750-014-1870-0"
"10.1101/001198","10.1038/mp.2014.99"
"10.1101/001297","10.1371/journal.pone.0085203"
"10.1101/001305","10.1371/journal.pone.0106541"
"10.1101/001321","10.1038/onc.2014.279"
"10.1101/001347","10.1093/molbev/msu269"
"10.1101/001362","10.1371/journal.pone.0102170"
"10.1101/001289","10.1371/journal.pbio.1002000"
"10.1101/001370","10.1038/nmeth.3069"
"10.1101/001396","10.1162/neco_a_00568"
"10.1101/001404","10.1371/journal.pone.0119789"
"10.1101/001388","10.1093/molbev/msu121"
"10.1101/001446","10.1016/j.evolhumbehav.2014.04.003"
"10.1101/001495","10.1371/journal.pcbi.1003569"
"10.1101/001529","10.1163/15685373-12342153"
"10.1101/001545","10.1186/1471-2105-15-220"
"10.1101/001586","10.1016/j.bica.2014.02.003"
