"PREPRINT_DOI","PREPRINT_POSTED_DATE","CITING_ARTICLE_DOI","CITING_ARTICLE_CREATED_DATE"
"10.1101/016832",2015-03-22,"10.1111/mec.13627","2016-03-30"
"10.1101/047530",2016-04-06,"10.1016/j.coelec.2017.09.003","2017-09-19"
"10.1101/043752",2016-03-15,"10.1017/s0033291717002318","2017-08-29"
"10.1101/067355",2016-08-02,"10.1017/s0033291717002318","2017-08-29"
"10.1101/048991",2016-04-16,"10.1017/s0033291717002318","2017-08-29"
"10.1101/078972",2016-12-16,"10.1017/s0033291717002318","2017-08-29"
"10.1101/053058",2016-05-20,"10.1016/j.coisb.2017.08.003","2017-08-20"
"10.1101/021931",2015-07-05,"10.1016/j.coisb.2016.12.018","2017-03-03"
"10.1101/074682",2016-09-11,"10.1016/j.coisb.2016.12.018","2017-03-03"
"10.1101/055160",2016-05-25,"10.1016/j.coisb.2016.12.018","2017-03-03"
"10.1101/074450",2016-09-09,"10.1016/j.coisb.2016.12.018","2017-03-03"
"10.1101/074450",2016-09-09,"10.1016/j.coisb.2016.12.019","2017-02-23"
"10.1101/128009",2017-04-17,"10.1016/j.coisb.2017.08.007","2017-09-01"
"10.1101/086090",2016-11-23,"10.1016/j.coisb.2017.05.017","2017-06-03"
"10.1101/069542",2016-08-14,"10.1016/j.coisb.2017.05.017","2017-06-03"
"10.1101/094722",2016-12-16,"10.1016/j.coisb.2017.11.008","2017-12-07"
"10.1101/132183",2017-04-28,"10.1016/j.coisb.2017.11.008","2017-12-07"
"10.1101/122531",2017-03-30,"10.1016/j.coisb.2017.07.013","2017-08-05"
"10.1101/128843",2017-04-19,"10.1016/j.coisb.2017.07.013","2017-08-05"
"10.1101/110668",2017-02-21,"10.1016/j.coisb.2017.07.013","2017-08-05"
"10.1101/179770",2017-08-23,"10.1007/s13139-017-0504-7","2017-11-16"
"10.1101/205971",2017-10-19,"10.1016/j.coisb.2017.05.008","2017-06-01"
"10.1101/056499",2016-06-01,"10.1016/j.coisb.2017.05.008","2017-06-01"
"10.1101/121202",2017-05-08,"10.1016/j.coisb.2017.12.008","2017-12-28"
"10.1101/141598",2017-05-24,"10.1016/j.coisb.2017.12.008","2017-12-28"
"10.1101/111591",2017-02-25,"10.1016/j.coisb.2017.12.008","2017-12-28"
"10.1101/112854",2017-03-01,"10.1016/j.coisb.2017.04.010","2017-04-28"
"10.1101/125724",2017-04-09,"10.1164/rccm.201709-1843ed","2017-09-20"
"10.1101/115618",2017-03-10,"10.1080/23299460.2017.1407911","2017-12-19"
"10.1101/104877",2017-02-06,"10.1080/23299460.2017.1407911","2017-12-19"
"10.1101/057307",2016-06-07,"10.1080/23299460.2017.1407911","2017-12-19"
"10.1101/159855",2017-07-05,"10.1080/23299460.2017.1410344","2017-12-21"
"10.1101/057307",2016-06-07,"10.1080/23299460.2017.1415586","2017-12-28"
"10.1101/104877",2017-02-06,"10.1080/23299460.2017.1415586","2017-12-28"
"10.1101/115618",2017-03-10,"10.1080/23299460.2017.1415586","2017-12-28"
"10.1101/088393",2016-11-17,"10.1080/23299460.2017.1415586","2017-12-28"
"10.1101/053033",2016-05-12,"10.1016/j.coisb.2017.07.002","2017-07-08"
"10.1101/002832",2014-02-19,"10.1109/tcbb.2015.2485223","2015-10-01"
"10.1101/002824",2014-02-20,"10.1109/tcbb.2015.2485223","2015-10-01"
"10.1101/060194",2016-06-22,"10.1016/j.neuron.2017.12.011","2017-12-28"
"10.1101/005165",2014-05-14,"10.1139/gen-2017-0106","2017-12-01"
"10.1101/153775",2017-06-23,"10.1016/j.jhin.2017.11.011","2017-11-23"
"10.1101/104422",2017-01-30,"10.1093/molbev/msx286","2017-11-09"
"10.1101/112318",2017-02-27,"10.1093/jhered/esx069","2017-08-03"
"10.1101/086132",2016-11-07,"10.1093/jhered/esx069","2017-08-03"
"10.1101/132274",2017-04-29,"10.1111/gbb.12444","2017-12-16"
"10.1101/068809",2016-08-12,"10.1111/gbb.12444","2017-12-16"
"10.1101/103242",2017-01-28,"10.1016/j.coelec.2017.08.015","2017-09-01"
"10.1101/129171",2017-04-20,"10.1016/j.cortex.2017.11.005","2017-11-22"
"10.1101/099960",2017-01-12,"10.1093/jhered/esx059","2017-07-06"
"10.1101/005165",2014-05-14,"10.1097/meg.0000000000001055","2017-12-30"
"10.1101/145433",2017-06-02,"10.1099/mic.0.000580","2017-11-22"
"10.1101/106864",2017-02-08,"10.1111/cge.13193","2017-12-08"
"10.1101/101410",2017-01-18,"10.1111/cge.13193","2017-12-08"
"10.1101/140905",2017-05-22,"10.1016/j.neures.2017.11.015","2017-12-16"
"10.1101/074989",2016-09-13,"10.1093/icb/icx067","2017-06-02"
"10.1101/104844",2017-02-02,"10.1093/bfgp/elx019","2017-07-12"
"10.1101/065912",2016-07-26,"10.1093/bfgp/elx019","2017-07-12"
"10.1101/085993",2016-11-07,"10.1080/24725854.2017.1412091","2017-11-30"
"10.1101/030338",2015-10-30,"10.1109/kse.2017.8119449","2017-11-23"
"10.1101/087437",2016-11-13,"10.3389/fevo.2017.00158","2017-12-07"
"10.1101/084137",2016-11-07,"10.3389/fninf.2017.00073","2017-12-22"
"10.1101/156489",2017-06-27,"10.1113/jp274404","2017-11-24"
"10.1101/006403",2014-06-19,"10.17537/2017.12.t1","2017-01-24"
"10.1101/003723",2014-04-03,"10.1186/1471-2164-15-684","2014-08-16"
"10.1101/056804",2016-06-03,"10.1007/978-981-10-5436-5_10","2017-10-27"
"10.1101/056804",2016-06-03,"10.1007/978-981-10-5436-5_11","2017-10-27"
"10.1101/056804",2016-06-03,"10.1007/978-981-10-5436-5_9","2017-10-27"
"10.1101/157438",2017-06-29,"10.1152/jn.00580.2017","2017-11-01"
"10.1101/043281",2016-03-11,"10.1007/978-3-319-65921-3_6","2017-11-24"
"10.1101/055558",2016-05-26,"10.1111/brv.12366","2017-09-22"
"10.1101/092940",2016-12-09,"10.1093/jac/dkx462","2017-11-15"
"10.1101/068254",2016-08-06,"10.1016/j.neuroimage.2017.12.060","2017-12-21"
"10.1101/135855",2017-05-09,"10.1016/j.neuroimage.2017.12.060","2017-12-21"
"10.1101/183004",2017-09-01,"10.1016/j.neuroimage.2017.12.060","2017-12-21"
"10.1101/110643",2017-02-21,"10.1016/j.neuroimage.2017.12.060","2017-12-21"
"10.1101/126920",2017-04-12,"10.1016/j.neuroimage.2017.12.060","2017-12-21"
"10.1101/016477",2015-03-14,"10.1016/b978-0-12-800049-6.00028-7","2016-04-29"
"10.1101/007161",2014-07-16,"10.1016/b978-0-12-800049-6.00148-7","2016-04-29"
"10.1101/014019",2015-01-20,"10.1093/database/bav100","2017-02-01"
"10.1101/174565",2017-08-10,"10.1177/1352458517742980","2017-12-18"
"10.1101/143933",2017-07-13,"10.1177/1352458517742980","2017-12-18"
"10.1101/168559",2017-07-26,"10.1083/jcb.201709115","2017-12-20"
"10.1101/151043",2017-06-16,"10.1083/jcb.201709115","2017-12-20"
"10.1101/167577",2017-07-24,"10.1016/j.jpsychires.2017.12.010","2017-12-16"
"10.1101/213264",2017-11-02,"10.1074/mcp.tir117.000383","2017-12-15"
"10.1101/115212",2017-03-08,"10.3920/cep170013","2017-10-12"
"10.1101/105122",2017-02-01,"10.1093/ije/dyx204","2017-08-30"
"10.1101/078972",2016-12-16,"10.1093/ije/dyx204","2017-08-30"
